aabcfn_nft,aabcfn_ft,ampfe_nft,ampfe_ft,cafn_nft,cafn_ft,cffn_nft,cffn_ft,ckfe_nft,ckfe_ft,cmqfe_nft,cmqfe_ft,cmqgfe_nft,cmqgfe_ft,cpffn_nft,cpffn_ft,ctcfe_nft,ctcfe_ft,cvffe_nft,cvffe_ft,cvfn_nft,cvfn_ft,sub_cffn_nft,sub_cffn_ft,sub_cle_nft,sub_cle_ft,sub_cqfe_nft,sub_cqfe_ft,uvfe_nft,uvfe_ft,
21,1.1387520170790529e-06,1.1545965801656388e-06,0.0009386989149509201,0.0008208912324835606,0.007710715575362823,0.00586426357811735,0.007911882881617678,0.0053130554729177,0.0013623660040292791,0.0013478729355101454,0.0001956501526184394,0.00026141935708438727,0.0007121270937792048,0.0006786863578081506,5.440564284541072e-05,5.561313191210926e-05,5.6894245380331886e-05,5.794976815319791e-05,0.007711000044379286,5.773535581224019e-05,4.203220559611286e-05,5.773535581224019e-05,-1593015497.7564473,6.592010488183459e-05,3.4187742791723044e-05,6.063210953960974e-05,1.330916983283208e-05,2.414473987785796e-05,1.1448620110735882e-05,1.1902228505646592e-05,
22,1.250209687097038e-06,1.1761676620213576e-06,0.0011002057727275648,0.0009467207624166467,0.00895844915684928,0.007033043349455406,0.009166113633870888,0.006588592658439874,0.0015645385284202187,0.001551662166855921,0.0002268665740243109,0.0003051305858428537,0.0008283775226066203,0.0007805772710411355,6.53230856874558e-05,6.12254335311685e-05,6.52429191178417e-05,6.619513086748479e-05,0.008889006474410842,6.94120676662504e-05,5.09530126777251e-05,6.94120676662504e-05,-1593015501.155655,8.312295661813427e-05,4.010637669608061e-05,6.811580317522977e-05,1.698848447009673e-05,2.580377270319252e-05,1.405297103304034e-05,1.4483558397874838e-05,
23,1.3680016148570711e-06,1.2237509443176327e-06,0.0012795912171815068,0.001087663207081622,0.010333912470335622,0.008368296202844046,0.010539244251319333,0.008031043318492049,0.001785753299235945,0.0017749776503666534,0.0002614853385203456,0.00035371709303077474,0.0009572957437910861,0.0008921677966786135,7.772880846650201e-05,6.771953025425017e-05,7.433868274042807e-05,7.515890671503785e-05,0.010178199000699282,8.275804597896712e-05,6.166078038460705e-05,8.275804597896712e-05,-1593015504.6473005,0.00010346384611385472,4.684315783803603e-05,7.631887035202493e-05,2.1312917653722868e-05,2.7377047325678735e-05,1.7077848727631367e-05,1.743511236767929e-05,
24,1.4928280065615147e-06,1.3003958369786797e-06,0.0014781893983636292,0.001246376113255376,0.011841286271375047,0.009879672918024412,0.012034593571328215,0.00963660501677284,0.0020269635201706796,0.002018645570612231,0.00029985858414059393,0.0004074343677759347,0.00109949493772367,0.0010139023570291496,9.172339723473347e-05,7.558399751454132e-05,8.419424434429876e-05,8.486979463420592e-05,0.011583639107829523,9.78517443667095e-05,7.43475986960173e-05,9.78517443667095e-05,-1593015508.3106914,0.00012713228656361503,5.448486226610004e-05,8.532823606967276e-05,2.628887032575389e-05,2.890240677056123e-05,2.0552578648014042e-05,2.077091598334657e-05,
25,1.625525859521599e-06,1.409776656988775e-06,0.0016975026161562894,0.0014261516034627362,0.013484114843568411,0.01157525081275348,0.013655120297194382,0.011402911572353975,0.0022891532104235553,0.0022834711893167767,0.000342651910875005,0.00046651964979588885,0.001255511411142655,0.001146232993950028,0.0001074016192342223,8.518669765371223e-05,9.481600757461149e-05,9.535650594728278e-05,0.013110527740888544,0.00011474466305757385,8.918745834894089e-05,0.00011474466305757385,-1593015512.2700505,0.00015423984309676,6.312531988799927e-05,9.528821750037482e-05,3.188662633416802e-05,3.041606413847724e-05,2.4502124158515456e-05,2.450003053421916e-05,
26,1.7671601952710532e-06,1.5563779688972495e-06,0.0019392035457193924,0.0016310461374936618,0.01526524407535759,0.013461264238570077,0.015403540601804476,0.013328732488849564,0.0025733403967886422,0.0025702377302801276,0.0003920571410622391,0.0005311853966895162,0.0014257812049386994,0.0012896346816109055,0.00012484956130974568,9.68964975736539e-05,0.00010620320180133912,0.00010664776416531249,0.014764226336692622,0.00013345429491276668,0.00010632331388126669,0.00013345429491276668,-1593015516.7034512,0.00018479799483959197,7.286603555924304e-05,0.00010620563770457895,3.802830555256953e-05,3.19518501641576e-05,2.89456219535462e-05,2.8626068583018876e-05,
27,1.919087836793172e-06,1.7457530755126544e-06,0.002205137120815949,0.0018660374652877958,0.017186759536818856,0.015541862946564613,0.017282502923051585,0.015413733756441306,0.002880580340315158,0.002879705828098949,0.0004784070207760992,0.00060161134599848,0.0016106141287262558,0.0014446485550915463,0.00014414091923177816,0.00011111349640419838,0.0001183469651142339,0.00011877230484626678,0.016550277852222763,0.00015395632917568122,0.00012585121732730027,0.00015395632917568122,-1593015521.8524134,0.00021869547341825943,8.381692066559946e-05,0.00011835933443158657,4.457372053326413e-05,3.354079895881099e-05,3.389475498673059e-05,3.314680769727579e-05,
28,2.08296524858858e-06,1.9848919700816173e-06,0.0024973221398907485,0.0021372146663522205,0.019249924556456202,0.01781890423614237,0.019294825179013153,0.01765828567664682,0.0032119688072379422,0.003212613653666582,0.0004629890711784871,0.0006779347985166409,0.0018101653481787106,0.0016119992008898829,0.00016533208126030255,0.00012828209188126322,0.00013122938013689382,0.00013175887549033718,0.018474427790355023,0.00017617608271978613,0.0001478011318566328,0.00017617608271978613,-1593015528.0321653,0.0002556759174710995,9.60971582924251e-05,0.00013189673689686904,5.130393490485304e-05,3.521095746035708e-05,3.935195565116557e-05,3.8053910552164135e-05,
29,2.2606640659538487e-06,2.282756465588344e-06,0.0028179526454121515,0.0024520081780228203,0.021455118297994742,0.020291783836188355,0.021443798820627507,0.020063307284675674,0.003568645393426048,0.0035696778319747684,0.0005313153489380136,0.000760238621463923,0.0020244047484951947,0.0017929014080489993,0.00018845545227157574,0.00014889932408371445,0.00014482246265993263,0.00014563623546152006,0.020542645222972507,0.00019997912856639885,0.00017211400347562385,0.00019997912856639885,-1593015535.6425622,0.00029531686097008164,0.00010983622898795894,0.00014705000287990868,5.790231326948516e-05,3.6987341545964617e-05,4.530843203458883e-05,4.3332757189784856e-05,
30,2.4540795407969384e-06,2.6510751218640665e-06,0.0031693991162134415,0.0028194678146781543,0.023801773837174058,0.022957309430976375,0.023733564000155062,0.02263013968742887,0.0039517969113019745,0.003951595269008197,0.0005957024736914009,0.000848536287039097,0.002253084411746304,0.0019898354630770044,0.00021351012886407602,0.00017352171882793535,0.00015908710309325532,0.0001604331559281485,0.022761143811545852,0.00022516109144341207,0.0001986146365428301,0.00022516109144341207,-1593015545.1796715,0.0003370112640193376,0.00012517512868955475,0.00016410373103731884,6.393284389891208e-05,3.8891986697607894e-05,5.174201013100191e-05,4.896239282646175e-05,
31,2.6648731856743248e-06,3.1055448266766573e-06,0.003554209504396724,0.0032505979688393937,0.02628831623854153,0.02580961966489605,0.026169561141187663,0.025360442568126952,0.004362660847998835,0.004359046004716215,0.0006631111320036601,0.0009427529946546417,0.0024957046777895116,0.0022084452412135342,0.00024044843784192747,0.0002027717029370393,0.00017397196073744043,0.00017617841981728492,0.025136402825268942,0.00025143658015604404,0.00022697988528561758,0.00025143658015604404,-1593015557.248018,0.00037995299830458133,0.00014226781573108583,0.00018340840264406043,6.881550707249396e-05,4.094405788241026e-05,5.8614784931289e-05,5.49155922591196e-05,
